competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
Spain - La Liga,2018/2019,16173,20:45:00.000,Athletic Club,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,16173,20:45:00.000,Barcelona,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,16182,20:45:00.000,Real Valladolid,0,1,Regular Season,-1,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2018/2019,16182,20:45:00.000,Barcelona,1,0,Regular Season,1,1,1,0,1,0,0,0,1,0,0
Spain - La Liga,2018/2019,16190,16:15:00.000,Barcelona,4,2,Regular Season,2,1,1,2,-1,0,1,1,3,0,0
Spain - La Liga,2018/2019,16190,16:15:00.000,Sevilla,2,4,Regular Season,-2,0,2,1,1,0,0,0,0,1,0
Spain - La Liga,2018/2019,16196,20:45:00.000,Barcelona,1,0,Regular Season,1,1,1,0,1,0,0,1,0,0,0
Spain - La Liga,2018/2019,16196,20:45:00.000,Real Madrid,0,1,Regular Season,-1,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2018/2019,16205,18:30:00.000,Barcelona,3,1,Regular Season,2,1,1,1,0,0,0,1,1,1,0
Spain - La Liga,2018/2019,16205,18:30:00.000,Rayo Vallecano,1,3,Regular Season,-2,0,1,1,0,0,0,0,1,0,0
Spain - La Liga,2018/2019,16215,20:45:00.000,Real Betis,1,4,Regular Season,-3,0,0,1,-1,0,0,1,0,0,0
Spain - La Liga,2018/2019,16215,20:45:00.000,Barcelona,4,1,Regular Season,3,1,1,0,1,0,0,0,4,0,0
Spain - La Liga,2018/2019,16231,16:15:00.000,Espanyol,0,2,Regular Season,-2,0,0,0,0,0,0,0,0,0,0
